timestamp,latitude,longitude
1647688323,-70.1357,-35.1757
1647688383,-66.6985,-37.6232
1647688443,-62.9849,-39.9670
1647688503,-58.9965,-42.1672
1647688563,-54.7139,-44.2003
1647688623,-50.1665,-46.0256
1647688683,-45.2696,-47.6492
1647688743,-40.0674,-49.0284
1647688803,-34.5836,-50.1370
1647688863,-28.9160,-50.9448
1647688923,-23.0306,-51.4469
1647688983,-17.0538,-51.6227
1647689043,-11.0744,-51.4676
1647689103,-5.1784,-50.9854
1647689163,0.5019,-50.1964
1647689223,5.9999,-49.1060
1647689283,11.2206,-47.7430
1647689343,16.1378,-46.1335
1647689403,20.7059,-44.3204
1647689463,25.0065,-42.2989
1647689523,29.0115,-40.1091
1647689583,32.7424,-37.7732
1647689643,36.1948,-35.3325
1647689703,39.4529,-32.7626
1647689763,42.5100,-30.1007
1647689823,45.3911,-27.3600
1647689883,48.1189,-24.5526
1647689943,50.6941,-21.7128
1647690003,53.1830,-18.7979
1647690063,55.5747,-15.8483
1647690123,57.8898,-12.8675
1647690183,60.1259,-9.8870
1647690243,62.3354,-6.8634
1647690303,64.5142,-3.8267
1647690363,66.6758,-0.7832
1647690423,68.8159,2.2364
1647690483,70.9845,5.2780
1647690543,73.1769,8.3101
1647690603,75.4079,11.3276
1647690663,77.6721,14.2987
1647690723,80.0236,17.2675
1647690783,82.4600,20.2016
1647690843,84.9993,23.0934
1647690903,87.6406,25.9135
1647690963,90.4436,28.6937
1647691023,93.4109,31.4012
1647691083,96.5665,34.0234
1647691143,99.9355,36.5457
1647691203,103.5269,38.9409
1647691263,107.4011,41.2133
1647691323,111.5212,43.3089
1647691383,115.9780,45.2416
1647691443,120.7477,46.9674
1647691503,125.8304,48.4598
1647691563,131.1600,49.6822
1647691623,136.7907,50.6300
1647691683,142.6234,51.2705
1647691743,148.5838,51.5879
1647691803,154.5360,51.5755
1647691863,160.4900,51.2334
1647691923,166.3088,50.5693
1647691983,171.9213,49.5993
1647692043,177.2732,48.3453
1647692103,-177.7100,46.8457
1647692163,-172.9625,45.1030
1647692223,-168.5301,43.1563
1647692283,-164.3997,41.0303
1647692343,-160.5842,38.7685
1647692403,-156.9969,36.3538
1647692463,-153.6461,33.8237
1647692523,-150.5069,31.1953
1647692583,-147.5781,28.5056
1647692643,-144.7868,25.7221
1647692703,-142.1350,22.8767
1647692763,-139.6054,19.9828
1647692823,-137.1967,17.0713
1647692883,-134.8513,14.1017
1647692943,-132.5731,11.1051
1647693003,-130.3451,8.0856
1647693063,-128.1724,5.0768
1647693123,-126.0059,2.0360
1647693183,-123.8487,-1.0081
1647693243,-121.6874,-4.0500
1647693303,-119.5258,-7.0598
1647693363,-117.3144,-10.0817
1647693423,-115.0569,-13.0845
1647693483,-112.7377,-16.0623
1647693543,-110.3410,-19.0081
1647693603,-107.8702,-21.8911
1647693663,-105.2662,-24.7505
1647693723,-102.5292,-27.5528
1647693783,-99.6377,-30.2876
1647693843,-96.5947,-32.9211
1647693903,-93.3245,-35.4844
1647693963,-89.8271,-37.9384
1647694023,-86.0790,-40.2644
1647694083,-82.0902,-42.4253
1647694143,-77.7740,-44.4349
1647694203,-73.1473,-46.2501
1647694263,-68.2079,-47.8440
1647694323,-63.0123,-49.1791
1647694383,-57.4994,-50.2524
1647694443,-51.7591,-51.0283
1647694503,-45.8568,-51.4885
1647694563,-39.8739,-51.6212
1647694623,-33.9497,-51.4261
1647694683,-28.0716,-50.9048
1647694743,-22.3694,-50.0708
1647694803,-16.9413,-48.9520
1647694863,-11.7543,-47.5562
1647694923,-6.8753,-45.9180
1647694983,-2.3094,-44.0637
1647695043,1.9156,-42.0369
1647695103,5.8856,-39.8279
1647695163,9.5841,-37.4755
1647695223,13.0361,-34.9989
1647695283,16.2657,-32.4165
1647695343,19.2741,-29.7657
1647695403,22.1349,-27.0163
1647695463,24.8456,-24.2011
1647695523,27.4270,-21.3309
1647695583,29.8790,-18.4389
1647695643,32.2603,-15.4852
1647695703,34.5685,-12.4993
1647695763,36.8170,-9.4909
1647695823,39.0037,-6.4900
1647695883,41.1796,-3.4522
1647695943,43.3400,-0.4083
1647696003,45.4987,2.6366
1647696063,47.6697,5.6773
1647696123,49.8479,8.6825
1647696183,52.0840,11.6972
1647696243,54.3751,14.6901
1647696303,56.7369,17.6549
1647696363,59.1651,20.5597
1647696423,61.7183,23.4457
1647696483,64.3959,26.2794
1647696543,67.2186,29.0505
1647696603,70.1851,31.7269
1647696663,73.3680,34.3397
1647696723,76.7654,36.8488
1647696783,80.4039,39.2384
1647696843,84.2755,41.4716
1647696903,88.4666,43.5639
